CRN,,,Cred,Gr,Class,Start,End,,Max,,Sts
Course-Sec,Course Title,Class Type,Hrs,Tp,Days,Time,Time,Instructor,Enrl,Enrl,Rmng
15784 ADMN-1030-01,ARCH EXP & PLAN ENGINEERING,SEM,0,SU,,** TBA **,,Bruce,500.0,83.0,417.0
15785 ADMN-1030-02,ARCH EXP & PLAN HUMANITIES,SEM,0,SU,,** TBA **,,Bruce,500.0,3.0,497.0
15786 ADMN-1030-03,ARCH EXP & PLAN ITWS/UNDECIDED,SEM,0,SU,,** TBA **,,Bruce,500.0,5.0,495.0
15787 ADMN-1030-04,ARCH EXP & PLAN MANAGEMENT,SEM,0,SU,,** TBA **,,Bruce,500.0,3.0,497.0
15788 ADMN-1030-05,ARCH EXP & PLAN SCIENCE,SEM,0,SU,,** TBA **,,Bruce,500.0,52.0,448.0
15486 ADMN-1824-01,STUDENT SUCCESS LABS,LEC,0,NG,W,1:00,1:50PM,Trzepacz,120.0,1.0,119.0
14908 ADMN-6600-01,SUMMER ADMINIST REGISTRATION,LEC,0,SU,,** TBA **,,Grega,700.0,621.0,79.0
15813 ADMN-6800-01,TA TRAINING SEMINAR,LEC,0,SU,,** TBA **,,Dunn,500.0,10.0,490.0
15413 ARCH-4770-01,ARCHITECTURAL DESIGN STUDIO 5,LEC,5,,M WR,2:00,5:50PM,Crembil,15.0,11.0,4.0
15769 ARCH-4770-02,ARCHITECTURAL DESIGN STUDIO 5,LEC,5,,M WR,2:00,5:50PM,Combs,15.0,8.0,7.0
15815 ARCH-4770-03,ARCHITECTURAL DESIGN STUDIO 5,LEC,5,,M WR,2:00,5:50PM,Virgil,15.0,11.0,4.0
15771 ARCH-4780-01,ARCHITECTURAL DESIGN STUDIO 6,LEC,5,,M WR,2:00,5:50PM,Crembil,15.0,1.0,14.0
15772 ARCH-4780-02,ARCHITECTURAL DESIGN STUDIO 6,LEC,5,,M WR,2:00,5:50PM,Combs,15.0,1.0,14.0
15816 ARCH-4780-03,ARCHITECTURAL DESIGN STUDIO 6,LEC,5,,M WR,2:00,5:50PM,Virgil,15.0,3.0,12.0
15770 ARCH-4820-01,INTEGRATED DESIGN SCHEMATIC,LEC,5,,M WR,2:00,5:50PM,Crandall,10.0,4.0,6.0
15031 ARCH-6990-03,MASTER'S THESIS,LEC,1-12,,,** TBA **,,Staff,10.0,0.0,10.0
15057 ARCH-6990-04,MASTER'S THESIS,LEC,1-12,,,** TBA **,,Staff,0.0,0.0,0.0
15240 ARCH-9990-01,ARCHITECTURE DISSERTATION,LEC,1-15,,,** TBA **,,Figueiro,10.0,0.0,10.0
15371 ARTS-1050-01,ART HISTORY,LEC,4,,M R,10:30,12:35PM,Wille Kiel,60.0,59.0,1.0
15688 ARTS-2020-01,MUSIC AND TECHNOLOGY 1,STU,4,,M R,8:00,10:05AM,Hamilton,19.0,20.0,-1.0
15778 ARTS-2540-01,THE MULTIMEDIA CENTURY,,4,,T F,8:00,10:05AM,Galloway,19.0,15.0,4.0
15739 ARTS-2750-01,PRIVATE MUSIC LESSONS: VIOLIN,,1,,,** TBA **,,Morey/Fisher-Loc,9.0,0.0,9.0
15740 ARTS-2750-02,PRIVATE MUSIC LESSONS: VIOLA,,1,,,** TBA **,,Morey/Fisher-Loc,9.0,0.0,9.0
